Time,ARIMA,SARIMA,ETS,RNN,LSTM,CNN,GRU,TCN,Actual,Raw
2023-09-08 03:15:50,3534.6408980878423,3460.148779263069,5550.879261904819,1235.0952,1603.3138,1657.4565,1441.9298,1627.2661,950.3475795923216,893.0
2023-09-08 03:15:55,3623.921475411587,3574.7323048650783,6196.850482423278,1290.6721,1946.1023,1651.7933,1503.8553,1223.6841,1051.414633239171,479.0
2023-09-08 03:16:00,1395.203543266161,1451.2494351629753,1214.4142623946364,1643.1295,1979.0857,1522.328,1571.7272,1375.2078,1525.9319572601062,1690.0
2023-09-08 03:16:05,1646.2358302972048,1835.9263214916937,1499.7043919946811,2286.8076,2274.4883,2538.0474,2125.971,2232.6902,1894.6050754134217,2770.0
2023-09-08 03:16:10,1829.537872027082,2138.739677358049,1821.206873151328,2558.6003,2549.454,2871.4788,2426.7517,2063.1104,1828.0488253930264,1550.0
2023-09-08 03:16:15,1963.3837565534284,2289.268592661124,2046.2014486321875,2364.4395,2112.161,2739.949,2378.6948,2515.7864,1431.7821602498163,1800.0
2023-09-08 03:16:20,2061.117096758335,2287.2490443751767,2133.8664349836527,1907.6808,1746.3853,2359.5125,1963.0494,2373.8713,1148.7635252474022,487.0
2023-09-08 03:16:25,1068.7434695481036,1054.868690769648,799.0524666660967,1348.7703,1680.9285,1121.8823,1330.5782,887.9697,1395.831510397299,1500.0
2023-09-08 03:16:30,1010.369185525255,1005.6897094967944,405.6395552632951,1860.8342,1865.9689,1319.7357,1845.6755,994.04034,2234.8250973179656,1670.0
2023-09-08 03:16:35,967.7853981809276,1055.4784727900333,164.53102414073535,2425.734,1728.6992,1538.2468,2202.4958,1308.5935,3317.814003350936,3720.0
2023-09-08 03:16:40,936.7207097664684,1176.7354043396344,-10.645067810986092,2568.499,1763.1505,1643.1282,2207.5469,1705.0183,4141.313499722559,4920.0
2023-09-08 03:16:45,914.0591541259516,1289.847145870611,-196.40042052344188,2329.8394,2007.5011,1828.9965,2015.0789,1734.9034,4389.983727935959,3780.0
2023-09-08 03:16:50,4325.113083417371,4290.604467799935,4584.322940587508,4073.254,4043.089,3848.6992,3978.587,3294.843,4072.662987002893,4040.0
2023-09-08 03:16:55,4277.752701927912,4161.789071439797,4745.261805615002,3347.5012,3216.6692,3041.9177,3252.0398,2436.3982,3404.658907607328,3620.0
2023-09-08 03:17:00,4243.176111060462,4061.327761836587,4975.374065489597,2737.309,2570.2744,2495.59,2425.7747,1940.7665,2641.464336757027,2270.0
2023-09-08 03:17:05,4217.932635429229,4035.792739033373,5324.715339923534,2290.1143,2236.1404,2048.0706,1990.845,1705.6177,1998.491971978692,2610.0
2023-09-08 03:17:10,4199.503026090717,4061.806226603282,5710.2971770525855,2096.5625,2202.2874,1909.9742,1921.034,1668.5474,1613.339649800651,1040.0
2023-09-08 03:17:15,1410.481252059733,1390.192166115423,1128.398372718361,1363.9753,1582.2283,1663.7319,1448.8595,1771.0582,1493.593710238983,1290.0
2023-09-08 03:17:20,1262.0981967269272,1169.4874603187518,507.2647266488213,1877.2979,1613.6853,1799.6107,1464.6393,1915.2812,1502.6388803288046,2030.0
2023-09-08 03:17:25,1153.561742948867,940.077929841408,-175.64494880263192,2074.485,1686.6237,1986.9958,1789.4009,1968.2599,1462.2328879780118,1430.0
