FormattedTime,ARIMA,SARIMA,RNN,LSTM,CNN,GRU,TCN,Raw,Average
04:05:10,2.0796847029005447,2.1040375658486643,2.0303709506988525,2.0690572261810303,2.140660524368286,1.998059630393982,2.2435503005981445,2.6,2.0221227549147565
04:05:15,2.1344841255734006,2.207283731569426,2.042090892791748,2.1937367916107178,2.21579647064209,2.11499571800232,2.568459272384644,1.8,2.1052003795370196
04:05:20,2.173413279096768,2.273333144906375,2.1095685958862305,2.2639193534851074,2.2899694442749023,2.140329122543335,2.4448673725128174,1.8,2.154517722505949
04:05:25,2.201068296615713,2.288583091103617,2.249004364013672,2.4503097534179688,2.4286742210388184,2.3153204917907715,2.521945714950561,2.2,2.300207873913537
04:05:30,2.220714241229281,2.277750568075879,2.4377684593200684,2.418365240097046,2.525208234786988,2.4472556114196777,2.4563162326812744,2.2,2.4219044009568123
04:05:35,2.427214798362682,2.4423084678080635,2.475324869155884,2.5366220474243164,2.3438868522644043,2.444599151611328,2.4798057079315186,2.2,2.4637898383856283
04:05:40,2.567433457212242,2.6301960478801005,2.617943286895752,2.5962469577789307,2.466456651687622,2.6156435012817383,2.5902321338653564,2.8,2.614567364254793
04:05:45,2.667056997493304,2.792971403813404,2.6451191902160645,2.7068984508514404,2.6188390254974365,2.6425130367279053,2.5622661113739014,3.0,2.66305037255977
04:05:50,2.7378382320277224,2.897644547618169,2.568511247634888,2.51747727394104,2.5216970443725586,2.576788663864136,2.439891576766968,2.0,2.6032226129411726
04:05:55,2.7881273820426884,2.9238727790734726,2.4891324043273926,2.471964359283448,2.509620189666748,2.4697721004486084,2.544130325317383,2.2,2.5300572128401586
