Time,ARIMA,SARIMA,ETS,GP,RNN,LSTM,CNN,GRU,TCN,Actual,Raw
2023-09-08 04:08:30,8276.054832432867,8210.078537169004,8708.45287114191,115.09104199651442,7996.423828125,8665.2685546875,7855.1083984375,8388.6328125,8087.45068359375,8070.442735238459,11900.0
2023-09-08 04:08:35,9192.667803954855,9009.464959210978,10320.729354454596,115.0907414298314,7903.99169921875,7928.49462890625,7797.24365234375,8677.2890625,8408.517578125,8094.276855660311,6840.0
2023-09-08 04:08:40,9842.469307516092,9625.170692018017,12287.50232483562,115.09044057647333,7412.03857421875,6955.57421875,7278.62353515625,7770.93994140625,7284.39306640625,7096.5402294479045,6780.0
2023-09-08 04:08:45,10303.123920912334,10175.286553620424,14687.60170295026,115.0901394364425,6143.04150390625,5731.12841796875,6159.20263671875,6374.20947265625,5977.728515625,5711.448664723272,5180.0
2023-09-08 04:08:50,10629.689297693189,10645.631692267314,17434.796466680404,115.08983800974111,5514.0,5388.5869140625,5764.171875,5625.08251953125,5197.7294921875,4517.063404389394,4400.0
2023-09-08 04:08:55,3662.463289120716,3625.634764174692,3590.065679783923,115.412012371128,3717.91748046875,4213.7783203125,4177.40185546875,3440.906005859375,5053.76025390625,3712.0000791399975,4350.0
2023-09-08 04:09:00,3056.736826410523,2915.379016684514,2903.541852151138,115.41171038525329,3473.065673828125,4630.42138671875,4332.64990234375,3792.0361328125,5417.1123046875,3258.684743135975,3360.0
2023-09-08 04:09:05,2627.407902774641,2382.81309376488,2312.049117829069,115.41140811190851,3936.872802734375,4895.7880859375,4893.021484375,4151.91748046875,5689.3935546875,3139.4684405140288,2340.0
2023-09-08 04:09:10,2323.1066446694067,2084.25909230228,1450.2277708423985,115.41110555109604,4706.10302734375,5288.2666015625,5398.46533203125,4606.81689453125,6262.62939453125,3451.5129366489773,5070.0
2023-09-08 04:09:15,2107.422933215196,1991.599252284639,-63.01841501166632,115.4108027028182,5256.20361328125,5461.70849609375,5615.3203125,5466.9248046875,6239.86669921875,4313.740691945797,3040.0
