cpu_usage,memory_usage,bandwidth_inbound,bandwidth_outbound,tps,response_time,status
0.161523,0.536005,5633.950233,4987.944236,2.446796529,2370.281321,0
0.166574,0.538819,5019.599203,4531.44925,2.276474769,2323.164639,0
0.180284,0.540916,5103.298831,4675.338819,2.230810147,2395.190621,0
0.195188,0.538696,5745.497857,5224.175645,2.37824689,2428.036235,0
0.196612,0.529365,6133.665276,5480.708332,2.618210907,2395.039658,0
0.179145,0.51613,5608.328586,4954.474398,2.735436867,2342.635766,1
0.155167,0.50883,4460.864947,3967.576357,2.609670668,2300.592122,1
0.14412,0.51641,3804.816422,3458.239274,2.37467252,2301.575796,0
0.154559,0.538008,4559.349868,4134.170113,2.306162899,2360.427822,0
0.177407,0.562079,6592.009092,5845.704087,2.524643587,2388.403616,0
0.19447,0.574963,8808.477277,7694.027044,2.871623465,2245.54701,0
0.19314,0.57158,9979.527387,8667.630913,3.076052254,1905.512469,0
0.175009,0.558235,9539.652836,8281.568592,2.966021074,1493.232509,0
0.152313,0.545098,7809.57532,6795.1099,2.564946614,1182.501324,0
0.13718,0.53759,5693.817233,4978.416161,2.100232604,1102.397999,0
0.132981,0.535236,4142.169543,3646.472066,1.878584875,1271.57888,0
0.134197,0.535874,3607.848644,3189.997694,2.020893597,1553.78181,0
0.135078,0.538874,3885.025807,3439.818323,2.329195605,1727.88823,0
0.137393,0.544435,4492.928445,3991.386415,2.502074976,1667.510609,0
0.146105,0.550763,5122.539193,4569.832003,2.442713825,1431.978421,0
0.158522,0.554173,5735.72659,5107.088484,2.283703684,1164.105229,0
0.164586,0.553469,6485.233493,5704.619051,2.188656303,956.7850666,0
0.159943,0.551944,7536.56756,6525.636363,2.225437053,837.9829226,0
0.152106,0.552647,8717.647634,7482.565358,2.366538822,803.1409279,0
0.150559,0.553741,9433.093533,8098.923335,2.519472626,818.394524,0
0.156978,0.55097,9220.097529,7958.245242,2.587127053,847.6738686,0
0.167593,0.543457,8304.29234,7216.517885,2.555693469,902.8907344,0
0.177715,0.535054,7356.260763,6429.632864,2.513104893,1026.166312,0
0.181361,0.530022,6793.537798,5954.875318,2.555071808,1211.378555,0
0.173786,0.528667,6515.318483,5710.878332,2.671876996,1382.005027,0
0.15777,0.528305,6219.322859,5447.889019,2.73829124,1473.323157,0
0.143043,0.527751,5785.233423,5077.878597,2.632117087,1516.703112,0
0.137103,0.528804,5353.522608,4731.686465,2.364592526,1590.455419,0
0.138198,0.533251,5146.712323,4592.002279,2.073601501,1674.97267,0
0.138692,0.539818,5237.648675,4695.110382,1.904186639,1638.803685,0
0.134314,0.544086,5440.83667,4853.959229,1.931461194,1429.613777,0
0.128319,0.541595,5461.313681,4809.834417,2.143339553,1190.810688,0
0.127025,0.532579,5202.054431,4509.876873,2.40801217,1102.197148,0
0.132777,0.5235,4862.384797,4171.13133,2.516309033,1179.275333,0
0.141531,0.521795,4707.150729,4047.866223,2.382468217,1309.309525,0
0.147213,0.528819,4854.568773,4244.232498,2.179255605,1429.283012,0
0.147548,0.539261,5268.941194,4714.130306,2.169974611,1585.868392,0
0.144439,0.546615,5738.834544,5231.059524,2.416539601,1822.107647,0
0.140293,0.547869,5904.015425,5422.007372,2.730696273,2067.808974,0
0.136606,0.544452,5604.379974,5121.684657,2.902245971,2184.391862,0
0.134474,0.540203,5158.49693,4643.674285,2.888647786,2096.277591,0
0.132814,0.538007,5028.630614,4452.938418,2.769869524,1857.779882,0
0.12823,0.538016,5275.526794,4637.757718,2.615987835,1629.836866,0
0.121485,0.538831,5537.977567,4877.484858,2.454328508,1595.216908,0
0.121252,0.539404,5475.24954,4846.30558,2.312513454,1816.446815,0
0.134275,0.539721,5071.138042,4502.872267,2.234634711,2151.150178,0
0.153514,0.540371,4583.888768,4064.779167,2.258453855,2382.466761,0
0.164027,0.541574,4368.730806,3853.653093,2.392426487,2447.575364,0
0.161093,0.542489,4682.978595,4112.380249,2.596884443,2451.003672,0
0.155575,0.541804,5516.239173,4847.185913,2.795054296,2456.324827,1
0.159174,0.539363,6584.652306,5806.749527,2.942370652,2397.624979,0
0.170231,0.537182,7492.396531,6609.334659,3.058463779,2220.684598,0
0.177779,0.538614,7955.458034,6969.662671,3.140272534,1971.413615,0
0.174193,0.54593,7940.720401,6873.675684,3.084830162,1698.727107,0
0.159117,0.557981,7576.777835,6488.522911,2.779472964,1386.890416,0
0.136487,0.570265,6965.821559,5936.834504,2.273615277,1035.231143,0
0.114161,0.577447,6168.350866,5269.758232,1.79091804,729.1089829,0
0.102996,0.575721,5356.432866,4624.930271,1.535717973,586.1065578,0
0.110798,0.564457,4870.965815,4274.196197,1.527597,661.1748381,0
0.137281,0.547952,4979.05349,4410.792102,1.643813707,927.9256453,0
0.174,0.534399,5510.317652,4868.068805,1.782049536,1324.00537,0
0.207395,0.530507,5908.637415,5189.455608,1.954435749,1766.697544,0
0.225248,0.536391,5793.297058,5087.495014,2.223570599,2127.179768,0
0.224112,0.545527,5332.015098,4723.820518,2.567446727,2254.675912,0
0.211424,0.549868,5055.202602,4539.815913,2.861135644,2086.918553,1
0.199585,0.546211,5471.435503,4937.214783,2.996479248,1732.17211,0
0.194646,0.53806,6625.904183,5911.369385,2.948090812,1389.245391,0
0.190158,0.531456,7777.776792,6809.976968,2.728785662,1174.77667,0
0.177111,0.529758,7889.667733,6792.315363,2.385154717,1071.186904,0
0.160007,0.532113,6746.652197,5756.930107,2.052164963,1033.082082,0
0.155718,0.535532,5325.437016,4570.884195,1.920747833,1066.34732,0
0.17357,0.538041,4896.831521,4271.833465,2.092741639,1175.043595,0
0.201759,0.54015,5870.756877,5141.463097,2.468338914,1293.687007,0
0.219179,0.543622,7510.358657,6531.573713,2.811593716,1341.532366,0
0.218871,0.549278,8725.732211,7547.426483,2.954325569,1324.612753,0
0.210547,0.555704,9024.769185,7806.273169,2.893117599,1302.92473,0
0.200146,0.559574,8560.154668,7433.61043,2.684574172,1267.386422,0
0.181354,0.558323,7604.588145,6629.828961,2.369195486,1145.86947,0
0.150869,0.553029,6418.647334,5600.196114,2.028521642,927.0173888,0
0.119258,0.547456,5377.252815,4678.060394,1.784846731,699.4894455,0
0.102442,0.544394,4804.216612,4166.001926,1.695984721,575.3929835,0
0.108585,0.543895,4717.314139,4096.444839,1.721226327,617.2943046,0
0.133539,0.544375,4867.280242,4255.099472,1.808776446,813.3099181,0
0.164649,0.544574,5029.757877,4432.19848,1.962948257,1070.073719,0
0.187812,0.544828,5224.757421,4621.520146,2.192759076,1232.974002,0
0.193579,0.546696,5581.204703,4922.28471,2.42691151,1176.594266,0
0.181387,0.550952,6036.329066,5294.348807,2.533693719,928.0474664,0
0.161447,0.555802,6359.65613,5569.600121,2.443653063,703.5562721,0
0.150964,0.55761,6463.492507,5686.301038,2.248299062,796.2486188,0
0.162604,0.553847,6444.046997,5701.0732,2.158002659,1360.883917,0
0.192045,0.545775,6314.211215,5582.39806,2.316952438,2220.439554,0
0.218707,0.538436,5997.707436,5255.741654,2.639111698,2893.994564,0
0.223617,0.536887,5637.241137,4878.841166,2.868836794,2940.711051,1
0.207079,0.541439,5634.286269,4836.710945,2.842605336,2355.375372,0
0.186817,0.547441,6253.881261,5373.906541,2.659093475,1597.927281,0
0.180591,0.550108,7274.189727,6299.448354,2.555867458,1209.251369,0
0.19213,0.548427,8106.041991,7093.773696,2.65672748,1384.779412,0
0.209995,0.544437,8268.340267,7308.610782,2.86868343,1858.768189,0
0.217363,0.540438,7735.113894,6878.893429,2.993850594,2160.769112,1
0.206275,0.537833,6911.501314,6144.654993,2.923803229,2023.575771,0
0.185137,0.538061,6403.671792,5666.912237,2.728979775,1583.116789,0
0.171447,0.543009,6671.810519,5883.540023,2.560214911,1213.461622,0
0.176581,0.55285,7553.980264,6655.900002,2.496298883,1226.540094,0
0.197361,0.56361,8129.418675,7165.920707,2.528974323,1713.597657,0
0.220838,0.568908,7499.227622,6627.371944,2.662684984,2531.428798,0
0.235181,0.565648,5860.449011,5216.523454,2.927788629,3336.537707,0
0.23556,0.557242,4456.84215,4004.528725,3.252244206,3705.06347,0
0.222523,0.54989,4298.198435,3842.913499,3.40966684,3387.741183,1
0.199282,0.546079,5168.084482,4534.585051,3.210837268,2539.242855,0
0.172972,0.54326,6044.190183,5225.618201,2.734163908,1655.398106,0
0.154624,0.538845,6229.390869,5360.654324,2.275934652,1200.388207,0
0.151349,0.534243,5791.309512,5010.88955,2.0783183,1260.261847,0
0.160085,0.532852,5210.119042,4560.166394,2.165884841,1564.304172,0
0.173661,0.535941,5040.513669,4452.053371,2.408057979,1817.794349,0
0.188423,0.541843,5669.322528,5010.388754,2.65650113,1947.712014,0
0.201198,0.547697,6969.479146,6133.747491,2.815065515,2012.908091,0
0.204912,0.55114,8277.641742,7253.875773,2.831463797,1991.254713,0
0.19435,0.551539,8930.707795,7791.924448,2.689745147,1790.65874,0
0.174122,0.55006,8811.238179,7646.696407,2.447520901,1440.177189,0
0.155422,0.547925,8307.823264,7174.991228,2.236476218,1123.050904,0
0.144705,0.544681,7762.60317,6697.030766,2.155234058,982.3554918,0
0.139016,0.538842,7078.128176,6128.7539,2.166228166,980.23657,0
0.132311,0.530558,5986.253761,5217.06059,2.155273731,981.3661401,0
0.122955,0.523314,4605.596513,4047.215225,2.088883288,925.7361518,0
0.115177,0.521693,3519.935115,3122.878897,2.051021109,898.1083894,0
0.116354,0.526919,3300.176828,2945.089161,2.128991331,1045.241063,0
0.132095,0.535805,4060.776307,3615.221901,2.32481969,1406.927195,0
0.159909,0.544264,5378.182124,4758.553071,2.5632184,1803.270284,0
0.187535,0.55031,6501.773008,5716.472706,2.73319007,1941.580141,0
0.201285,0.553538,6831.707829,5976.073764,2.752438241,1695.778726,0
0.198015,0.553706,6429.137828,5614.108715,2.634784214,1258.135753,0
0.188775,0.551139,6016.808056,5278.77531,2.484985349,988.3899258,0
0.188763,0.547746,6315.840064,5588.67275,2.421895289,1115.696374,0
0.200635,0.546044,7292.428156,6476.001793,2.491755471,1557.137929,0
0.209748,0.546781,8155.233273,7218.116167,2.630594605,1990.205454,0
0.200342,0.548305,8254.91176,7252.183627,2.724869078,2103.937526,0
0.174132,0.548607,7856.959487,6838.287114,2.711522629,1817.934859,0
0.148531,0.547525,7765.395671,6702.690695,2.593578891,1314.843939,0
0.138284,0.547064,8256.002333,7101.136636,2.393808093,879.2829531,0
0.14272,0.55006,8668.595936,7472.450363,2.163861156,686.9782215,0
0.150533,0.557326,8127.474404,7062.053302,2.016340909,744.8451711,0
0.153137,0.564894,6534.505655,5764.920737,2.05712893,993.368097,0
0.150988,0.566219,4766.508586,4288.287314,2.26555752,1368.542719,0
0.148746,0.559047,3893.707758,3510.768534,2.487178674,1746.331176,0
