Time,ARIMA,RNN,LSTM,CNN,GRU,TCN,Actual,Raw
2023-09-08 02:48:10,6075.136473412533,5681.514,6043.772,6397.5317,5661.7046,5418.1826,5326.334306134396,3740.0
2023-09-08 02:48:15,6135.305363324289,5635.6987,6038.7017,6271.007,5773.688,4899.772,4664.596695282389,5160.0
2023-09-08 02:48:20,6178.278523322946,5618.688,5861.4272,5934.52,5980.3413,5830.699,4062.952764564696,4980.0
2023-09-08 02:48:25,6208.970339026686,5604.2383,5447.308,5954.4517,5931.715,5393.899,3780.383582079674,2520.0
2023-09-08 02:48:30,3726.211956725645,3842.5566,4235.0073,3609.3994,4206.5635,4109.5684,3949.5849003034414,4170.0
2023-09-08 02:48:35,3687.515410664991,4613.7896,4506.306,3822.821,4383.93,5579.996,4450.5490637601415,3820.0
2023-09-08 02:48:40,3659.8732148246745,5152.196,5275.0444,4680.336,5063.564,5498.681,5002.386534964001,7640.0
2023-09-08 02:48:45,3640.1274992851854,5513.9272,4989.5366,5159.3237,5633.6577,5964.557,5390.213822776474,2630.0
2023-09-08 02:48:50,3626.0224953115953,5764.2217,5058.182,5752.7954,5855.0464,5751.3945,5510.034295085759,5050.0
2023-09-08 02:48:55,5482.001098481022,5629.0405,5942.327,5526.363,5859.7065,5930.7505,5332.16386400349,9090.0
2023-09-08 02:49:00,5461.97394382775,5668.1187,6042.281,5244.835,5586.4194,6522.2866,5041.276409138879,2200.0
2023-09-08 02:49:05,5447.666373800637,5377.6694,5677.242,5122.226,5634.363,5817.5605,5041.462142216547,6020.0
2023-09-08 02:49:10,5437.444923793146,5220.677,6023.916,5179.146,5465.4316,5579.465,5527.102125107321,3670.0
2023-09-08 02:49:15,5430.142632764154,5036.2866,5930.9077,5212.7354,5338.312,5519.5293,6106.171150087941,6650.0
2023-09-08 02:49:20,6488.645500713261,6394.7637,6080.7515,6152.606,6361.2324,6479.373,6081.019835987516,7820.0
2023-09-08 02:49:25,6761.892014659647,6095.166,5927.159,6211.447,6354.6714,6585.7925,5190.263358841135,5650.0
2023-09-08 02:49:30,6957.104209312133,5888.849,6079.9575,6026.3516,6189.188,6014.686,3973.860091820104,2730.0
2023-09-08 02:49:35,7096.56729116692,5520.5117,5931.415,5727.3467,5743.013,6307.601,3284.841293310819,1990.0
2023-09-08 02:49:40,7196.202210158837,5513.8193,5864.0903,5814.0874,5848.069,5955.9604,3481.724999579836,4790.0
