Time,ARIMA,ETS,Actual
2023-09-08 02:45:50,0.12613893663186715,0.1282366113851938,0.098
2023-09-08 02:45:55,0.1297189291155753,0.1473773145128705,0.1639999999999999
2023-09-08 02:46:00,0.14356360098036677,0.13459335865528144,0.036
2023-09-08 02:46:05,0.13634435512180942,0.14581995446338186,0.15
2023-09-08 02:46:10,0.13728591736079002,0.13875903051131708,0.152
2023-09-08 02:46:15,0.13284460147410687,0.1354311254525631,0.124
2023-09-08 02:46:20,0.12815556026286734,0.11956191556483875,0.134
2023-09-08 02:46:25,0.12961697358017063,0.1342147283321476,0.07
2023-09-08 02:46:30,0.10791014778050557,0.10729698332155081,0.154
2023-09-08 02:46:35,0.12119427566661797,0.0990270198175761,0.144
2023-09-08 02:46:40,0.135191347603041,0.12046893323764328,0.134
