Without Butterworth,With Butterworth,Actual Value,Filtered Value
0.112248026,0.13498467,0.106,0.144891745
0.11758596,0.13581717,0.176,0.141051288
0.11996118,0.1374901,0.108,0.131309954
0.11278656,0.12401808,0.136,0.12129193
0.12776013,0.12520455,0.116,0.118151327
0.16224809,0.13352154,0.096,0.125609346
0.110666245,0.13679823,0.176,0.14062686
0.14940052,0.14095983,0.14,0.154883351
0.12091539,0.1621545,0.152,0.159733022
0.13380598,0.16133776,0.174,0.150640979
0.12795898,0.15059125,0.12,0.129755248
0.14462203,0.14225207,0.11,0.105693867
0.13625562,0.13592812,0.072,0.088919139
0.13880654,0.0866971,0.092,0.085352697
0.14151114,0.10131734,0.102,0.093672202
0.13731782,0.11711939,0.096,0.107317866
0.14218646,0.12598939,0.112,0.117982338
0.14271683,0.13350031,0.142,0.119489697
0.10936834,0.10991887,0.122,0.112322415
0.106064685,0.11160503,0.074,0.104492456
0.11594714,0.10612212,0.116,0.104840992
0.12380917,0.11694814,0.096,0.114259272
0.11594497,0.11804247,0.136,0.124253695
0.14997591,0.13116397,0.144,0.12483862
0.14359728,0.13006885,0.118,0.11453984
0.14151071,0.12571187,0.084,0.102469115
0.13974589,0.120722264,0.082,0.099788795
0.13855477,0.121601164,0.136,0.109759872
0.13615736,0.13097923,0.118,0.126305625
0.11582246,0.14387427,0.12,0.140004958
0.11465857,0.14868116,0.192,0.145394078
0.13089421,0.15302809,0.148,0.145952063
0.12498339,0.1428301,0.102,0.15144208
0.15085396,0.16191976,0.15,0.166245336
0.14710452,0.16638468,0.24,0.182381893
0.10418738,0.1628748,0.192,0.188912595
0.10950897,0.15441577,0.152,0.185718485
0.14042045,0.14043015,0.222,0.183573422
0.19698328,0.18796644,0.132,0.191961368
0.11466411,0.18360794,0.216,0.208962169
0.13251214,0.17384517,0.276,0.224010503
0.1433086,0.16200148,0.238,0.231647669
0.10288067,0.14731738,0.19,0.23957087
0.21484761,0.24758245,0.282,0.258876239
0.2618259,0.25090814,0.232,0.28799828
0.24814862,0.24510147,0.38,0.310360165
0.18486989,0.22208579,0.3,0.309204309
0.19422863,0.19997694,0.316,0.283593569
0.1946838,0.24769865,0.138,0.248174394
0.19559152,0.21575618,0.334,0.21948987
0.18641077,0.20144476,0.134,0.206890393
0.17840649,0.17525999,0.272,0.21349773
0.18408278,0.1666125,0.164,0.236961555
0.15326934,0.2633872,0.316,0.266901326
0.16150212,0.26661548,0.27,0.286850985
0.13650213,0.25532737,0.288,0.283510161
0.16322854,0.22666314,0.292,0.256680955
0.22541471,0.22219889,0.19,0.221816095
0.17725721,0.19590539,0.204,0.201523676
0.2169395,0.18271902,0.194,0.210364209
0.1661998,0.17886604,0.236,0.244222399
0.20026834,0.18170862,0.316,0.282732467
0.14522126,0.18121909,0.29,0.302240595
0.18187582,0.2931372,0.266,0.289450655
0.14837518,0.2743971,0.346,0.249024965
0.1612856,0.23483557,0.126,0.20171947
0.15149467,0.21384671,0.102,0.169500481
0.14568475,0.19705446,0.252,0.157876083
0.18523367,0.16854744,0.136,0.157041846
0.20286655,0.17318155,0.204,0.159516281
0.16290855,0.1724573,0.084,0.167268214
0.19220525,0.17356375,0.186,0.179961662
0.2144125,0.17869096,0.222,0.186116521
0.32347718,0.18010472,0.212,0.173195106
0.22434366,0.16732289,0.072,0.142713897
0.18898322,0.16451965,0.14,0.110434584
0.2560779,0.14978558,0.11,0.095555528
0.20698053,0.1606908,0.11,0.112192056
0.13303754,0.14327946,0.106,0.162333904
0.11418932,0.17379996,0.246,0.228995548
0.14445134,0.18618837,0.32,0.281087351
0.16735822,0.17090775,0.294,0.293591132
0.13909276,0.14588168,0.26,0.265612714
0.210881,0.20907721,0.24,0.219493911
0.20543976,0.16911851,0.114,0.18316052
0.17588322,0.17065248,0.2,0.170638651
0.14331914,0.15125327,0.176,0.176213038
0.20066199,0.16612564,0.232,0.185799286
0.20226602,0.17931494,0.136,0.191469297
0.16050798,0.17359525,0.228,0.193941402
0.16704015,0.1835867,0.146,0.195387454
0.19586453,0.18757468,0.268,0.195021534
0.22577746,0.1896365,0.138,0.191034093
0.2245477,0.18679217,0.186,0.182058747
0.20672569,0.17871767,0.172,0.165824536
0.14094299,0.17609796,0.154,0.141098856
0.16701505,0.16564275,0.13,0.113542422
0.17622326,0.16124502,0.06,0.09622399
0.15175173,0.103301436,0.098,0.100520593
0.17462476,0.11615159,0.146,0.126331809
0.13945189,0.1256377,0.138,0.161609715
0.14268416,0.13599285,0.206,0.190537943
0.12409047,0.124767736,0.246,0.203482755
0.15515608,0.20067422,0.142,0.201448538
0.14739199,0.18403019,0.184,0.191019173
0.18918335,0.17049673,0.23,0.177109274
0.15749764,0.1545624,0.156,0.16337255
0.14702,0.14941059,0.108,0.154229286
0.15584669,0.14392148,0.142,0.150208025
0.16965158,0.14624673,0.224,0.146626769
0.14190876,0.14861433,0.14,0.142949074
0.18009193,0.15615188,0.054,0.146580764
0.17441241,0.16397673,0.188,0.161017603
0.17176567,0.18094616,0.244,0.17827056
0.17730543,0.20327583,0.17,0.189517678
0.17788392,0.20125428,0.148,0.194856104
0.17672883,0.1930836,0.192,0.196986995
0.1739405,0.17426634,0.264,0.194865293
0.15619147,0.19187745,0.198,0.190064823
0.13920674,0.17523149,0.088,0.189579543
0.16453563,0.15830316,0.21,0.193914011
0.1664941,0.1475284,0.278,0.191289285
0.14715388,0.13615395,0.156,0.172773585
0.1347722,0.1409861,0.082,0.146011082
0.17039253,0.109601624,0.176,0.127222338
0.1745731,0.10089751,0.096,0.125953272
0.18511924,0.11322218,0.17,0.141275494
0.18978655,0.13775405,0.15,0.166034825
0.14062983,0.19013521,0.164,0.189983559
0.15430297,0.20500645,0.256,0.202614353
0.1533623,0.2056853,0.182,0.198952525
0.1550743,0.18604033,0.18,0.183192913
0.14692694,0.17781816,0.15,0.163402479
0.15051448,0.1486503,0.106,0.142780096
0.14797476,0.14470263,0.232,0.120127612
0.16237783,0.14336373,0.026,0.099095259
0.14422247,0.14321157,0.084,0.090234702
0.14242916,0.14195192,0.094,0.100297718
0.06325307,0.124283716,0.158,0.124735723
0.14464046,0.15076286,0.16,0.153308515
0.09151628,0.17273529,0.12,0.177474628
0.09787274,0.1781945,0.232,0.190682409
0.1370275,0.17382428,0.204,0.188947896
0.17147103,0.17674126,0.158,0.175952123
0.13001645,0.15412855,0.182,0.163324097
0.14057453,0.14721902,0.1,0.160859392
0.14671405,0.13793588,0.19,0.166868956
0.10479092,0.14320993,0.238,0.171552478
0.17037657,0.16177748,0.118,0.169639248
0.12792309,0.15495664,0.134,0.164748067
0.13756995,0.14991677,0.222,0.161862611
0.14774562,0.15341164,0.132,0.16225827
0.16576453,0.16102922,0.16,0.165403131
0.19749187,0.17291789,0.184,0.17014958
0.18647227,0.17833988,0.17,0.174310553
0.18252437,0.18395336,0.172,0.175717863
0.1588966,0.17526542,0.172,0.17366938
0.16733208,0.16465114,0.196,0.169845095
0.19006406,0.16600828,0.15,0.167765354
0.18205294,0.16848755,0.118,0.168549425
0.16880204,0.15689847,0.24,0.167384148
0.14255749,0.1523181,0.144,0.158658938
0.11550016,0.13966589,0.15,0.144281233
0.13408673,0.12733737,0.072,0.13182605
0.1539946,0.11570324,0.198,0.125101417
0.15053318,0.113718905,0.06,0.121387711
0.14641443,0.11656683,0.184,0.117920967
0.14807977,0.1270081,0.086,0.117708521
0.11170195,0.1212285,0.11,0.127166048
0.17505524,0.13234632,0.164,0.147793984
0.14616346,0.14328589,0.14,0.17144594
0.13424498,0.15124497,0.244,0.185847312
0.15112738,0.15218861,0.17,0.185520267
0.1432238,0.17190087,0.156,0.176124233
0.13482818,0.16262469,0.178,0.166955067
0.13944267,0.15904161,0.116,0.16042414
0.14552602,0.14618734,0.222,0.151139803
0.13348366,0.14557986,0.114,0.135440035
0.097133376,0.123204336,0.126,0.118646387
0.1291016,0.11951223,0.038,0.10996269
0.11780043,0.11849902,0.212,0.113065341
0.104017645,0.12913133,0.086,0.12550361
0.13632648,0.13680676,0.102,0.143091876
0.1313496,0.15980688,0.22,0.160369019
0.13043427,0.17358679,0.15,0.171345257
0.11776213,0.1738773,0.164,0.174013619
0.13092196,0.1647739,0.204,0.172390529
0.12502852,0.15398361,0.15,0.173094056
0.116463564,0.18132229,0.164,0.178688537
0.082377456,0.18603177,0.146,0.18261983
0.08313015,0.17406954,0.288,0.175091188
0.11777294,0.15824546,0.13,0.158913311
0.13821238,0.14494807,0.114,0.15373936
0.17886174,0.17046572,0.124,0.176190347
0.19950916,0.19227389,0.29,0.218795348
0.17950736,0.1988558,0.252,0.255056932
0.1659673,0.19049807,0.256,0.262665342
0.1694811,0.18237747,0.234,0.238895955
0.20605685,0.20611967,0.246,0.200258962
0.17495944,0.18437298,0.142,0.172021203
0.14782907,0.17665084,0.08,0.170254966
0.18159601,0.16719407,0.264,0.187106323
0.1818204,0.16278437,0.242,0.198119265
0.11292365,0.1863741,0.13,0.186842135
0.14422925,0.16329467,0.202,0.158095304
0.12809937,0.1531292,0.076,0.128667738
0.1817142,0.15942697,0.126,0.111113961
0.20133208,0.16584511,0.116,0.106539727
0.14917055,0.10561243,0.11,0.108723749
0.15489776,0.113575,0.102,0.112281853
0.15249884,0.12391929,0.158,0.116997972
0.17167464,0.134888,0.064,0.125690466
0.15020785,0.14219597,0.162,0.137820902
0.17628029,0.14708851,0.138,0.146011571
0.15476148,0.15157607,0.178,0.14162351
0.15379463,0.15213802,0.096,0.124090392
0.09196041,0.14194813,0.114,0.103036526
0.13211101,0.13372892,0.08,0.091458392
0.092425905,0.10161382,0.11,0.09701127
0.10872061,0.11149067,0.08,0.116676548
0.09713407,0.12807687,0.156,0.13703725
0.1001464,0.13514481,0.164,0.142540793
0.11538016,0.14390579,0.138,0.128561219
0.11467281,0.09737039,0.094,0.107260467
0.12136299,0.0921685,0.092,0.097916586
0.12288118,0.098175764,0.052,0.109072517
0.118659966,0.122370355,0.186,0.130388104
0.12601423,0.13857864,0.186,0.144366959
0.14230679,0.1447981,0.11,0.145022778
0.15889014,0.1415147,0.102,0.140442531
0.17569272,0.1362118,0.17,0.138964379
0.16418086,0.14234214,0.15,0.140327921
0.20442167,0.14573368,0.124,0.140112267
0.12297016,0.13314849,0.136,0.136280565
0.17008105,0.13004284,0.16,0.130778743
0.16031928,0.12767455,0.106,0.127824163
0.15055992,0.12808013,0.076,0.129555326
0.15246916,0.1317333,0.234,0.133190827
0.1362356,0.12984191,0.086,0.135473945
0.12506816,0.12969139,0.128,0.137606843
0.13747437,0.13455075,0.146,0.141463374
0.12861511,0.14323494,0.142,0.144132032
0.12269593,0.1442513,0.164,0.140866657
0.14407538,0.12638168,0.126,0.132143033
0.10926229,0.11383493,0.108,0.124874992
0.14385363,0.111340754,0.144,0.126099322
0.10990697,0.11519954,0.096,0.135823066
0.13944018,0.12212016,0.192,0.145869066
0.12649645,0.14563404,0.112,0.145992777
0.17479193,0.14745073,0.184,0.132648945
0.15289888,0.13896583,0.076,0.112867793
0.14859705,0.1373073,0.092,0.098932759
0.19285998,0.13506785,0.108,0.098390288
0.14339812,0.10620087,0.096,0.109150243
0.1269439,0.12272133,0.156,0.12341293
0.1327458,0.13716346,0.1,0.134860443
0.14791557,0.1424902,0.174,0.14271167
0.12336024,0.14402133,0.148,0.151170702
0.13287723,0.15915538,0.142,0.164737873
0.14157662,0.1659992,0.156,0.181427761
0.13317174,0.16173251,0.25,0.191673405
0.125044,0.15208937,0.192,0.187625267
0.13153437,0.14325143,0.128,0.171901171
0.14114763,0.14611585,0.174,0.153407403
0.1490119,0.13595903,0.11,0.13694323
0.13309172,0.1332046,0.16,0.121136487
0.11899404,0.13808598,0.108,0.105504889
0.13157578,0.13844356,0.058,0.095547102
0.11090099,0.09502811,0.134,0.099569765
0.13500817,0.11121241,0.106,0.122231189
0.13270071,0.13122864,0.164,0.16042149
0.15409228,0.14469542,0.158,0.201524872
0.15662204,0.15456761,0.29,0.226511443
0.1718181,0.22579388,0.208,0.220973623
0.17592348,0.19932221,0.18,0.186487707
0.12331214,0.17491037,0.16,0.14071488
0.10933351,0.15564618,0.074,0.105857124
0.13238415,0.14415172,0.076,0.094556027
0.09568187,0.0988767,0.146,0.103313654
0.13426557,0.09916406,0.086,0.118459177
0.11848276,0.10655089,0.182,0.128768218
0.09941428,0.120266646,0.092,0.132689445
0.13887836,0.12660559,0.128,0.134649744
0.16435967,0.1361704,0.144,0.136598017
0.17223085,0.14323537,0.136,0.135688815
0.19493571,0.14489415,0.172,0.130297809
0.16433531,0.15512429,0.066,0.124554376
0.17246196,0.14959157,0.142,0.123789307
0.16395977,0.13285065,0.116,0.127329729
0.12294891,0.13776156,0.168,0.129368184
0.12500535,0.14037156,0.1,0.126122013
0.12360627,0.13509214,0.11,0.118828019
0.12527227,0.13170336,0.124,0.110608659
0.16296996,0.10863152,0.112,0.10436429
0.13601847,0.107009396,0.092,0.103785822
0.15333396,0.1113862,0.118,0.112528813
0.11063032,0.11965977,0.122,0.130004964
0.1101935,0.13038816,0.122,0.14833182
0.13261159,0.15863807,0.212,0.155627907
0.14293274,0.15936464,0.126,0.145302873
0.13206851,0.14643851,0.12,0.122544156
0.12778205,0.13762154,0.094,0.100347645
0.13149548,0.13173217,0.084,0.089707527
0.08393751,0.092712656,0.114,0.093604538
0.07158384,0.10784575,0.064,0.107376214
0.090926595,0.12199949,0.174,0.123156791
0.11609988,0.13458407,0.134,0.136140743
0.13172409,0.14216971,0.118,0.1475879
0.14170869,0.15765022,0.158,0.160349987
0.15050375,0.16578239,0.202,0.172987412
0.14121674,0.16597536,0.164,0.180508019
0.1351472,0.15524639,0.158,0.178904035
0.1555774,0.14382453,0.23,0.168195673
0.15169345,0.15596724,0.104,0.153568856
0.13803013,0.14636563,0.146,0.142675593
0.14530872,0.13284267,0.132,0.139585148
0.14574991,0.13162507,0.18,0.143295404
0.14609635,0.1350004,0.138,0.152743259
0.112892054,0.15574019,0.158,0.168667984
0.13111886,0.16643539,0.168,0.187580319
0.12272358,0.16684818,0.194,0.197597279
0.15395004,0.16864455,0.27,0.186809368
0.121467374,0.16653772,0.1,0.157605364
0.14861302,0.1267391,0.13,0.128311455
0.17762996,0.10837063,0.11,0.117713121
0.11492053,0.10583755,0.112,0.129121054
0.12263229,0.1128957,0.158,0.149473286
0.09694671,0.12702066,0.228,0.163128464
0.14346527,0.16585188,0.118,0.166684615
0.14879894,0.15591325,0.152,0.169083292
0.16336112,0.15020649,0.19,0.178074706
0.17014384,0.145149,0.204,0.190486048
0.17853741,0.14242719,0.154,0.195058412
0.16518933,0.18267316,0.226,0.182037914
0.15931962,0.16481791,0.186,0.153360082
0.11444811,0.14927065,0.086,0.125894307
0.09889635,0.14067008,0.08,0.119019106
0.118056074,0.13436972,0.154,0.134853725
0.121573016,0.16174653,0.152,0.153890748
0.13434614,0.17121074,0.196,0.153277824
0.12666099,0.17321374,0.142,0.129761516
0.15623151,0.1679488,0.076,0.104376052
0.16941258,0.15791816,0.064,0.102939764
0.11136634,0.13264717,0.118,0.130431329
0.11660691,0.16784196,0.214,0.165794369
0.108784735,0.18981925,0.206,0.18332288
0.12492573,0.18659171,0.18,0.177613642
0.13235186,0.17395319,0.128,0.165534201
0.13825841,0.15817454,0.128,0.165095314
0.15992726,0.16423638,0.214,0.176629307
0.12946214,0.16296086,0.222,0.186816868
0.1386146,0.15757622,0.168,0.186936828
0.1325035,0.14805558,0.148,0.181486613
0.20621507,0.18980536,0.244,0.180724017
0.123005666,0.18565105,0.108,0.189566865
0.12107343,0.17854977,0.23,0.202513392
0.12885441,0.17572676,0.25,0.207714662
0.15184243,0.1763067,0.17,0.198345863
0.202239,0.18225458,0.194,0.179814837
0.25916395,0.1643664,0.148,0.163830599
0.24799867,0.15293579,0.12,0.156054556
0.2262472,0.15955587,0.196,0.151185015
0.16849646,0.15845849,0.172,0.14108977
0.15108806,0.123996876,0.06,0.125977517
0.18536462,0.110837884,0.164,0.114755317
0.15007654,0.116055675,0.08,0.116338301
0.18325116,0.12720492,0.166,0.132872332
0.2198737,0.13820516,0.102,0.157832949
0.13267681,0.18205214,0.208,0.178588907
0.12975459,0.19098349,0.26,0.185581376
0.1255449,0.18403716,0.086,0.181399618
0.12621686,0.1674736,0.202,0.176536451
0.1454013,0.15820861,0.17,0.175652467
0.18247063,0.1764065,0.154,0.173290866
0.12458006,0.16932817,0.256,0.164920983
0.17623712,0.16295308,0.11,0.158548086
0.22228058,0.14989573,0.118,0.169477703
