Without Butterworth,With Butterworth,Actual Value,Filtered Value
0.265206275,0.402131541,0.102,0.169500481
0.253764067,0.431427508,0.252,0.157876083
0.231026199,0.14646296,0.136,0.157041846
0.242280025,0.133151831,0.204,0.159516281
0.239295672,0.116392641,0.084,0.167268214
0.224085615,0.096383513,0.186,0.179961662
0.233019983,0.07458293,0.222,0.186116521
0.184380394,0.19196306,0.212,0.173195106
0.171224723,0.198704613,0.072,0.142713897
0.175344768,0.207205045,0.14,0.110434584
0.177674255,0.217839686,0.11,0.095555528
0.169881919,0.230573147,0.11,0.112192056
0.14689284,0.130758451,0.106,0.162333904
0.137056847,0.150818988,0.246,0.228995548
0.148572825,0.17117269,0.32,0.281087351
0.160352964,0.189654238,0.294,0.293591132
0.156231606,0.204749037,0.26,0.265612714
0.223880491,0.234476972,0.24,0.219493911
0.233102681,0.201509253,0.114,0.18316052
0.227133082,0.168074265,0.2,0.170638651
0.212681187,0.135379321,0.176,0.176213038
0.21744934,0.104440304,0.232,0.185799286
0.201047681,0.197674236,0.136,0.191469297
0.193327154,0.211946169,0.228,0.193941402
0.209909466,0.228472098,0.146,0.195387454
0.201637885,0.246647198,0.268,0.195021534
0.213732859,0.264965651,0.138,0.191034093
0.208893579,0.184814808,0.186,0.182058747
0.204407607,0.17485634,0.172,0.165824536
0.190326154,0.161573292,0.154,0.141098856
0.198185162,0.146561548,0.13,0.113542422
0.193135009,0.131311427,0.06,0.09622399
0.123883126,0.079807467,0.098,0.100520593
0.129185956,0.065154672,0.146,0.126331809
0.130192904,0.052748055,0.138,0.161609715
0.123482622,0.04270241,0.206,0.190537943
0.139068148,0.034898061,0.246,0.203482755
0.173499867,0.21804457,0.142,0.201448538
0.184159516,0.232714995,0.184,0.191019173
0.195959918,0.245111495,0.23,0.177109274
0.191380012,0.253717729,0.156,0.16337255
0.177260019,0.258933028,0.108,0.154229286
0.164010386,0.143343347,0.142,0.150208025
0.158315484,0.132319974,0.224,0.146626769
0.144293793,0.122400162,0.14,0.142949074
0.150025847,0.114436421,0.054,0.146580764
0.150938686,0.108785997,0.188,0.161017603
0.141000836,0.177704522,0.244,0.17827056
0.156823201,0.196427963,0.17,0.189517678
0.14890105,0.216596703,0.148,0.194856104
0.15987243,0.236784046,0.192,0.196986995
0.172010523,0.254682349,0.264,0.194865293
0.203690028,0.18900481,0.198,0.190064823
0.189233766,0.179845214,0.088,0.189579543
0.197023751,0.169011854,0.21,0.193914011
0.192205742,0.158045351,0.278,0.191289285
0.17749039,0.148171583,0.156,0.172773585
0.183199798,0.156273342,0.082,0.146011082
0.185439885,0.142177763,0.176,0.127222338
0.180102652,0.130362346,0.096,0.125953272
0.195059841,0.120527007,0.17,0.141275494
0.186999452,0.112088393,0.15,0.166034825
0.164595186,0.190777783,0.164,0.189983559
0.177313665,0.213207684,0.256,0.202614353
0.171454922,0.231890432,0.182,0.198952525
0.156065612,0.247327025,0.18,0.183192913
0.164980865,0.261133918,0.15,0.163402479
0.171333137,0.143418349,0.106,0.142780096
0.155566589,0.124368696,0.232,0.120127612
0.159606977,0.10723279,0.026,0.099095259
0.162741482,0.09255665,0.084,0.090234702
0.156662832,0.080309923,0.094,0.100297718
0.128372572,0.112466632,0.158,0.124735723
0.120181057,0.126094002,0.16,0.153308515
0.131523414,0.139706358,0.12,0.177474628
