FormattedTime,LINEAR_REGRESSION,RANDOM_FOREST,FEEDFORWARD_NEURAL_NETWORK,Raw,L3_WEIGHTED_AVERAGE
04:06:40,0.148873251705572,0.1470359520594,0.146827057003974,0.196,0.14759658065174364
04:06:45,0.147604553769938,0.1451814001136,0.14333951473236,0.09,0.14542258411637216
04:06:50,0.111058871183705,0.1132708130785,0.106675930321216,0.164,0.11041827701759228
04:06:55,0.0969480010699266,0.105209851887,0.0928975045680999,0.074,0.09847280000460878
04:07:00,0.0980160228223085,0.1056683849752,0.0934507101774215,0.068,0.09916889780981092
04:07:05,0.1128052249439,0.1105750838399,0.103231005370616,0.106,0.10899211297650499
04:07:10,0.128320107220737,0.1226443154563,0.114894099533557,0.228,0.12210421528799048
04:07:15,0.146466594425291,0.1466814150988,0.140839263796806,0.112,0.1447454645028279
04:07:20,0.138251394146979,0.1360175550282,0.135733768343925,0.118,0.1367138209198419
04:07:25,0.128542693943241,0.1320665159383,0.128552287817001,0.174,0.1297343729544498
04:07:30,0.119669582959247,0.1224036970865,0.124411456286907,0.112,0.12206858297128265
04:07:35,0.127891551818403,0.1333998549637,0.133335322141647,0.104,0.1314449521610767
04:07:40,0.138750671703166,0.1350503950477,0.134299993515014,0.176,0.1361164391420836
04:07:45,0.144843804655395,0.136910963245,0.13923355937004,0.126,0.14041335501942914
04:07:50,0.145259045916125,0.1364922461507,0.140784889459609,0.124,0.14090307153238202
04:07:55,0.144177432229736,0.1357819571088,0.138241410255432,0.16,0.13948904424881378
04:08:00,0.145095710608914,0.1364321617204,0.14050717651844,0.128,0.14073874160832434
04:08:05,0.151456385415999,0.1460780562153,0.150072142481803,0.13,0.1492099425068753
04:08:10,0.161038377185199,0.1613481992998,0.16081465780735,0.19,0.16107287834281925
04:08:15,0.163602167129393,0.1628765728368,0.168732285499572,0.162,0.16496510751764631
04:08:20,0.155276046035229,0.1524375641683,0.158162266016006,0.142,0.15522217323495655
04:08:25,0.149159823366245,0.1470411926266,0.146732807159423,0.118,0.14768367505840907
04:08:30,0.12724971371798,0.1247377027144,0.131039097905159,0.158,0.1275891700924153
04:08:35,0.12432024670366,0.1232814095266,0.129814118146896,0.098,0.12569187204964832
